OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662342900000,19835.07,19843.38,19815.0,19839.57,877.29798,1662343199999,35.11,-18.37,-6.60,-11.77,11.82,7.24
1662343200000,19839.57,19856.67,19809.56,19824.17,1000.26041,1662343499999,32.68,-21.67,-9.61,-12.05,16.21,10.79
1662343500000,19824.17,19840.85,19817.6,19821.8,688.95208,1662343799999,32.31,-24.19,-12.53,-11.66,20.03,16.02
1662343800000,19822.56,19851.78,19820.7,19849.81,811.19494,1662344099999,40.85,-23.66,-14.75,-8.90,37.23,24.49
1662344100000,19849.81,19861.6,19840.51,19857.46,650.52565,1662344399999,42.96,-22.36,-16.28,-6.08,62.00,39.75
1662344400000,19858.16,19867.49,19829.0,19833.97,710.42146,1662344699999,38.42,-22.96,-17.61,-5.35,70.70,56.64
1662344700000,19833.12,19841.0,19820.09,19837.74,679.85572,1662344999999,39.52,-22.87,-18.66,-4.21,58.18,63.63
1662345000000,19838.56,19846.17,19830.0,19837.88,571.04924,1662345299999,39.57,-22.53,-19.44,-3.09,40.01,56.30
1662345300000,19837.88,19849.09,19825.8,19834.75,541.46614,1662345599999,38.89,-22.25,-20.00,-2.25,36.28,44.82
1662345600000,19834.75,19864.02,19833.01,19857.44,635.77367,1662345899999,46.05,-19.97,-19.99,0.02,49.09,41.79
1662345900000,19857.44,19861.98,19826.0,19830.04,685.64405,1662346199999,39.96,-20.14,-20.02,-0.12,44.13,43.16
1662346200000,19830.79,19865.17,19829.08,19853.8,670.83842,1662346499999,46.56,-18.15,-19.65,1.50,57.52,50.24
1662346500000,19853.8,19864.2,19849.78,19853.4,371.50377,1662346799999,46.46,-16.42,-19.00,2.58,54.62,52.09
1662346800000,19852.73,19858.11,19832.0,19851.04,551.11456,1662347099999,45.89,-15.06,-18.22,3.15,68.38,60.18
1662347100000,19851.04,19855.84,19821.48,19833.58,624.51284,1662347399999,41.74,-15.22,-17.62,2.40,53.91,58.97
